text,label,id,toxicity_score,target_groups
look racist you just said you weren t calling him a racist so what is this some of that their is no there there doubletalk,0,1506,1.0,['all_groups']
yet claims to represent the white american people and the betterment of said people i beg to differ,0,8330,1.0,['all_groups']
white boy cartoon racist,0,17412,1.0,['all_groups']
former cm of odisha and senior congress leader giridhar gamang quits party,0,4061,1.0,['all_groups']
hero of the white race arthur jensen passes away news race aryan psychology,0,10556,1.0,['all_groups']
obviously trump was better off not going to the cuck state forum,0,1563,1.0,['all_groups']
i want those who care about white to stand up and,0,5090,1.0,['all_groups']
we trad cath paleoconservatives are a natural ally and the fore runner to the altright,0,5469,1.0,['all_groups']
wow look at all these racist white people supporting a black man,0,1860,1.0,['all_groups']
sounds like these people are committing apologetics for a group who commits acts of political violence,0,11779,1.0,['all_groups']
to care about my neighbours and children more than someone from france or malawi is normal to make clear yes i and other white brown and black englishmen would die to protect each other and this country we have a bond white black and brown brits do die defending engld,0,11864,1.0,['all_groups']
call the white house 202 456 1414 and tell them to end daca via,0,15951,1.0,['all_groups']
09th february 2013 day of honour remembrance in budapest hungary read more via,0,18527,1.0,['all_groups']
if antifa were the isis of america all you white supremacist wouldn t be here anymore way more progressive people than white supremacist,0,7853,1.0,['all_groups']
no i can see you beaming as you admire your white hood and noose in your avi i ll take your word for your membership tkc,0,12568,1.0,['all_groups']
we we must start a national movement to either federalize or privatize our historical monuments erect them all again including every 10 commandments monument ever removed they better pray those monuments are in safe storage,0,19024,1.0,['all_groups']
but we know what many europeans and white americans are doing today sir it s right here,0,16854,1.0,['all_groups']
this should be embarassing for white people,0,12188,1.0,['all_groups']
so sad to see amina sarah killed by their father hope he is captured one day,0,6268,1.0,['all_groups']
says are white supremists because they fight for legal immigration only lunatic,0,10831,1.0,['all_groups']
can try to hide bigotry with false threats from old white sheriffs but will still be a nationalist org full of racist,0,5893,1.0,['all_groups']
white genocide signs appear in asheville we talked about this during the previous white man march i remember,0,14705,1.0,['all_groups']
highlighting the importance of extending marriage to lesbians,0,16972,1.0,['all_groups']
white supremacy at its best where is tariq nasheed,0,2779,1.0,['all_groups']
poor blacks work just like poor whites corporations can t get rich without the worker econ 1301,0,16288,1.0,['all_groups']
you hate brigitte because she exposes the truth,0,14775,1.0,['all_groups']
i have presented to sc in writing the full and complete argument on why jallikattu is lawful but the riff raffs don t understand reasoning,0,2307,1.0,['all_groups']
raw story how the alt right turned me into a cuck,0,667,1.0,['all_groups']
they are multi racial,0,18262,1.0,['all_groups']
bs whites don t expect this to happen to their daughters under any circumstances if you t,0,5876,1.0,['all_groups']
unless you are very well armed and this old white guy is,0,18310,1.0,['all_groups']
national menorah at white house reveals who runs america,0,4287,1.0,['all_groups']
it s already mainstream thought white people just deserve to be treated fairly,0,8827,1.0,['all_groups']
ah they are re branding white genocide as the un whitening of america nice,0,6727,1.0,['all_groups']
white people make the best tacos,0,17429,1.0,['all_groups']
white folks are the answer read your history stophate,0,5510,1.0,['all_groups']
it would now b shown as a donation to the party aap indirectly promoting terrorism,0,12464,1.0,['all_groups']
again nobody but nobody would care about any of this but for trump and they all know it gopdebate,0,12212,1.0,['all_groups']
jerusalem muslim who rammed car into jews says i sought to kill jews,0,1948,1.0,['all_groups']
hitler and the pallies do have that one common vision,0,7804,1.0,['all_groups']
all this does is put a neon sign over your head that says milo connects with ppl more,0,10406,1.0,['all_groups']
dude there are literally white people who think they are actually smarter than a black physicist,0,17822,1.0,['all_groups']
nah he just means white men,0,18061,1.0,['all_groups']
hillary loves the white hoods,0,6928,1.0,['all_groups']
us trying to help find nigerian girls white house,0,5454,1.0,['all_groups']
lol regnerus sullins mchugh pushing studies that are re imaginings of legitimate research to suit their anti lgbt agenda,0,4702,1.0,['all_groups']
what makes you opti cucks think you have a monopoly on white advocacy,0,14690,1.0,['all_groups']
conservatives failed donald trumps supporters conservatives debate whether their policies failed white america,0,8638,1.0,['all_groups']
would you apply the swastika to a kkk members cake,0,15652,1.0,['all_groups']
why gang for every race ab jews but no white aryans because u lost the biggest among u will die but props to,0,18392,1.0,['all_groups']
you don t believe the censorship itself has made people more aware of content being censored,0,6507,1.0,['all_groups']
well said mate we all want a better deal blacks whites and all most of us aren t racist but so many are calling us racist it s like ffs,0,15582,1.0,['all_groups']
if we had an alt right candidate he d win in a landslide,0,12434,1.0,['all_groups']
thank you vasundhara ji congratulations to you the rajasthan bjp for the spectacular performance in the state,0,16354,1.0,['all_groups']
rt german embassy paris far right protesters oppose eu illegal quota,0,1023,1.0,['all_groups']
jihad against civilians is condemned but jihad against israel is a duty for any ci,0,16740,1.0,['all_groups']
follow meet malala of balochistan her father was abducted by pakistan army more than 3 years ago there are 1000s like,0,7756,1.0,['all_groups']
alt lite has less calories but they taste the same,0,4855,1.0,['all_groups']
fair is a known hate group with its roots in white supremacy,0,3174,1.0,['all_groups']
you guys are just cucks man now say some things we can use to make it look like you were in on the car thing,0,6510,1.0,['all_groups']
we will still have comments,0,5471,1.0,['all_groups']
rt interfaith outreach in syria islamic jihad groups attack monastery try repeatedly to destroy id,0,15747,1.0,['all_groups']
you know this isn t the whole of identity evropa right,0,13850,1.0,['all_groups']
the only thing linder has ever accomplished is inspiring glenn miller to kill a 14 year old white kid,0,9070,1.0,['all_groups']
two questionable cubans sure don t represent white protestant america,0,16453,1.0,['all_groups']
not just america all white nations must be free,0,13502,1.0,['all_groups']
when s the northwestern european heritage reception,0,11924,1.0,['all_groups']
poll 40 percent of white people have no non white friends in the usa via good instincts,0,18115,1.0,['all_groups']
jared kushner is sabotaging the trump administration via,0,9433,1.0,['all_groups']
shri rajnath singh meeting with andaman and nicobar islands lt governor shri ak singh at his residence new delhi,0,10838,1.0,['all_groups']
death to tha message of tha kkk ugh,0,15082,1.0,['all_groups']
for policy lecture on same sex marriage case tune in now,0,7758,1.0,['all_groups']
i m pro white myself but not down for creating another proposition nation like the usa,0,6981,1.0,['all_groups']
kid worked a full month to earn those shoes white privilege i think not,0,3889,1.0,['all_groups']
i d like to hear more from joshduggar and the family research council about the sanctity of marriage bwahaha,0,52,1.0,['all_groups']
fdr was a wealthy new yorker he won the entire south in a landslide four times he ended a half decades of gop rule,0,13250,1.0,['all_groups']
nothing wrong with being white person you racist bigot,0,16255,1.0,['all_groups']
sessions to congress daca answer in your hands via,0,7196,1.0,['all_groups']
white lives matter is described as racist damm not surprised just being ironic,0,6442,1.0,['all_groups']
rt popefrancis meeting w kim davis just 1 highlight in trip focused on religiousfreedom in all its complex aspects,0,5671,1.0,['all_groups']
audible white chocolate,0,17745,1.0,['all_groups']
america is not a white country last time i checked this,0,14981,1.0,['all_groups']
gop the home of racism white supremacy cuck state via,0,16044,1.0,['all_groups']
the 1776 version means the south back on top politically no way boston nyc and chicago wil,0,11805,1.0,['all_groups']
white people are being exterminated where is this going on,0,16532,1.0,['all_groups']
widely recognized as a classified hate group for its long term ties to white supremacists noamnesty,0,9229,1.0,['all_groups']
i think you got yours from a jew hating site,0,8780,1.0,['all_groups']
maybe the wall will be made of one way mirrors i think land mines would be cheaper and a greater deterrent,0,1514,1.0,['all_groups']
listen adf s roger kiska discusses international religious liberty with by,0,7069,1.0,['all_groups']
vanguard america are the terrorists behind the deadly terrorist attack in charlottesville va in august 12 2017,0,12800,1.0,['all_groups']
keep funding those sanctuary cities bob thanks,0,5178,1.0,['all_groups']
i have moral outrage i hate wife beating i hate child marriage i hate jihad billwarner,0,16100,1.0,['all_groups']
outstanding video from filling the void many vacuous professors ignore in higher ed unitetheright,0,10771,1.0,['all_groups']
nobody is gonna help you buildthewall you racist pos is a known hate group and i m disappointed is promoting it,0,18084,1.0,['all_groups']
montgomerys white resistance to integration alabama this excerpt on the demise of segregation in montgomery,0,7089,1.0,['all_groups']
trump is not a white nationalist,0,791,1.0,['all_groups']
boycott bankrupt corrupt religious fanatic racist alec magnates funding hate crime blacklivesmatter,0,4919,1.0,['all_groups']
i ve seen a lot of stuff that i disagree with including some comments which are crazy the typical woman isn t an e celeb that thirsty men gawk at like tomi lahren,0,485,1.0,['all_groups']
no mention of motive or purpose of rally by people to be misled your a white supr,0,16246,1.0,['all_groups']
rt despite obama promise fedfunds going 2 pp through obamacare grants stopppobamagrants join us,0,14508,1.0,['all_groups']
and thats white supremacy in a nutshell,0,14993,1.0,['all_groups']
fight over flour bag swastika shuts down antique shop via,0,18683,1.0,['all_groups']
how s mr last honest man in dc going to answer this one hmmm more proof comey deserved to be fired maga p2,0,18715,1.0,['all_groups']
he s got white women in his cloud elder,0,14211,1.0,['all_groups']
you cant just call every group of white people a hate group and expect us to believe it,0,2817,1.0,['all_groups']
your hate is very ugly will make you uglier hate causes wrinkles heart disease take off the race colored glasses see people as people,0,1894,1.0,['all_groups']
4 however when violence crosses racial lines it does so in a very unequal manner,0,11129,1.0,['all_groups']
dhs backpedals on gay spouse green cards,0,4804,1.0,['all_groups']
media suppressed this debate for years the altright is gro,0,17644,1.0,['all_groups']
more south indian names tumble out of panama papers closet,0,16219,1.0,['all_groups']
boko haram leader kill kill kill kill kill christians,0,1920,1.0,['all_groups']
cause they are white,0,7702,1.0,['all_groups']
info black on white crime in the us,0,16149,1.0,['all_groups']
yep i did i was interviewing vanguard america when their account and websites went down identity was rude when i asked to interview them,0,16562,1.0,['all_groups']
white house struggles on immigration ruling via stopexecutiveamnesty,0,5515,1.0,['all_groups']
the white supremacists are the ones not wanted in appalachia,0,13668,1.0,['all_groups']
agreed but not u being racist,0,3015,1.0,['all_groups']
im black pls luv me,0,7000,1.0,['all_groups']
us mb agenda is star spangled shariah cloaked in red white blue video,0,2009,1.0,['all_groups']
thousands of russian troops head to turkish border as us planes flee from syrian skies via,0,15534,1.0,['all_groups']
all i know is you said you hated me if that s your picture and you re a white person you hating me is racist,0,8538,1.0,['all_groups']
you hate gays you prove the point no place in western societies for your hatred do you hate women too,0,12927,1.0,['all_groups']
isis publicly stones 2 teenage girls to death for adultery,0,5133,1.0,['all_groups']
american ideals are actually new england ideals narcissism and endless wars for abstractions aren t our ideals,0,18591,1.0,['all_groups']
inclusion for everyone except those with a european identity,0,16146,1.0,['all_groups']
but the murders are a very small percentage of all the crimes done in america which are done mostly by whites so explain yourself,0,2159,1.0,['all_groups']
notice how they use the power of emotion as propaganda people are easily swayed by tears and emotional outbursts,0,3413,1.0,['all_groups']
mindthet and media expert forgets how the media works,0,18454,1.0,['all_groups']
i m still mulling over how to do this it s easy when i already know everyone more difficult meeting new people,0,7851,1.0,['all_groups']
white race,0,3673,1.0,['all_groups']
but act you re racist and hate all people of color and muslims right oh wait you don t you a,0,1243,1.0,['all_groups']
as points out in the article pakistan s 1st lady doesn t seem to be familiar with the quran,0,8489,1.0,['all_groups']
back there many america leftist jews have become fascist,0,15018,1.0,['all_groups']
want proof that i am german kaiser ken twitter has over 100 million user yet it singles me out for suspension on mundane activity,0,10076,1.0,['all_groups']
the roots of la raza was about improving the race to european standards it s insane how quickly it changed into kill whitey,0,14869,1.0,['all_groups']
putin sells uv anti bacterial device sales skyrocket after photo op w russian president,0,7159,1.0,['all_groups']
so who harms the climate more,0,9022,1.0,['all_groups']
don t you mean it s preferred to be white,0,5927,1.0,['all_groups']
repeating trump s slogan showing he s a bipartisan critic how is that supposed to hurt him debatenight,0,9908,1.0,['all_groups']
nevertrump was a cruz false flag which duped littlemarco supporters into voting for cruz now he is stabbing him in the back,0,13964,1.0,['all_groups']
even fox calls you white supremacist in stead of white lives matter nothing but highly paid cucks,0,13890,1.0,['all_groups']
i just feel like there are still white men who will be swayed by their corruption and gre,0,16104,1.0,['all_groups']
yes antifa and the klan are both racist democrat hate groups,0,4634,1.0,['all_groups']
what a suppressive anti social generality i m a white english jew,0,11904,1.0,['all_groups']
wait i don t understand why is it all white people,0,3608,1.0,['all_groups']
how can one be libertarian and leftist,0,15174,1.0,['all_groups']
britain 16 year old white girl kills herself to avoid being called racist read more via,0,1235,1.0,['all_groups']
our party actively seeks support of to build hindu india rss is the custodian of our traditions,0,3437,1.0,['all_groups']
the isn t as racist as,0,14594,1.0,['all_groups']
what if we had plants to help make left look even more stupid and hateful holding signs sure to upset folks,0,1796,1.0,['all_groups']
fyi stopsanctuarycities is funded by a hate group founded by a white supremacist,0,16629,1.0,['all_groups']
thanks and still standing for freedom,0,10878,1.0,['all_groups']
how can congress protect religiousliberty in the hhs mandate shares tomorrow hobbylobbyday,0,16980,1.0,['all_groups']
is it black people,0,2353,1.0,['all_groups']
he has successfully managed 2002 encounters and this kejriwal guy is thinking he can trap our boss for fake degree hehehe,0,9633,1.0,['all_groups']
another swedes get mob attacked by non white immigrants in stockholm video read more,0,9488,1.0,['all_groups']
hey u 2 washingtonpost liars just smeared trump claiming his comments were aimed mexican americans false,0,5039,1.0,['all_groups']
white people who hate themselves are mentally ill,0,14721,1.0,['all_groups']
i am here i stand in the gap for the unborn babies,0,17900,1.0,['all_groups']
gorcenski documented its intentions to cause trouble on social media leading up to this,0,7774,1.0,['all_groups']
love loyalty to our white race greatest virtue,0,1509,1.0,['all_groups']
department of justice and president cuck opening up civil rights investigation into charlottesville,0,14011,1.0,['all_groups']
are you going to teach your young child that people of color are inferior to white people like you were taught,0,15908,1.0,['all_groups']
strong message from bohemia stop anti white racism via,0,10863,1.0,['all_groups']
you really hate white people don t you,0,17499,1.0,['all_groups']
it s of course sad that you ve been brainwashed by the jewish media and the globalist propaganda but what can we do about it,0,7906,1.0,['all_groups']
i stand 4 marriage too but also pray for non trads to come to christ,0,5084,1.0,['all_groups']
all black look is way better than those white shirts and ties,0,17703,1.0,['all_groups']
muslims will continue to test the legal waters until there is no longer the need to it seems that the accused is a muslim,0,2438,1.0,['all_groups']
south carolina muslim arrested at airport for attempting to join the islamic state,0,12180,1.0,['all_groups']
no we are national socialist party firm not weak,0,1537,1.0,['all_groups']
women and white nationalism redux does the white nationalist movement need to include women weve discussed,0,19078,1.0,['all_groups']
i could even be a palestinian jew,0,16994,1.0,['all_groups']
charles murray doesn t belong here american renaissance via,0,17781,1.0,['all_groups']
interest rateiran 21 russia 11 indonesia 7 5 turkey 7 5 india 6 7 china 4 3 uk 0 5 us 0 25 euro area 0 05 japan 0,0,2351,1.0,['all_groups']
that last rt was for humour value only in case of doubt i stress that i do not support socialism national or international flavour,0,8126,1.0,['all_groups']
solution all white go home to the white homeland of europe no more immigration,0,5347,1.0,['all_groups']
the wall will keep america safe and secure from white supremacists running over people with cars or shooting up churches oh wait,0,18968,1.0,['all_groups']
creative loafing on tom watson rally georgia creative loafing in atlanta has written an article about the tom,0,2189,1.0,['all_groups']
whole neighborhoods lie in ruins after more than a year of fighting in homs syria,0,5545,1.0,['all_groups']
banking on modi foreign investors to pour 60 billion into india study,0,6783,1.0,['all_groups']
tea party is bald faced racists white privilege conference speaker tells sea of white people via,0,17265,1.0,['all_groups']
of science is very clear on this babies at this age feel pain more intensely than newborns and adults theyfeelpain,0,640,1.0,['all_groups']
that s just your idiotic i hate socialism ideology speaking civilised countries provide universal health care the end,0,12713,1.0,['all_groups']
rt david lane open letter to the dead white race,0,6582,1.0,['all_groups']
those evil racist white cops in mo ferguson,0,9362,1.0,['all_groups']
don t cuck for good dad jokes some of us need them,0,13224,1.0,['all_groups']
purge contd accounts still up richard spencer david duke harold covington kevin macdonald mike cernovich,0,1610,1.0,['all_groups']
yes intolerant of white supremacy as every decent human being should be,0,9247,1.0,['all_groups']
jewish groups urge congress to preserve anti semitism monitor,0,7925,1.0,['all_groups']
all his reasons are the main ones that affect people us people fight the war,0,12218,1.0,['all_groups']
administrative reforms are under way the niti aayog website will be ready in a few days the process for transforming india has begun,0,1166,1.0,['all_groups']
is there a counter protest in the works for the antifa rally in houston on june 10,0,8813,1.0,['all_groups']
rt white house canceling public tours due to sequestration,0,6592,1.0,['all_groups']
white peoples are da kewl ones amirite,0,17430,1.0,['all_groups']
rt look u ppl need to cool it with the pro white stuff ok there s is just no place for racial identity in america,0,5685,1.0,['all_groups']
valuevoterssummit is just another hate get together sponsored by hategroup lead by hatemonger all of whom are hate,0,9385,1.0,['all_groups']
never he s clever isn t he what is france going to do about it,0,4288,1.0,['all_groups']
live oregon militia leaders to address press on occupation oregonstandoff,0,17095,1.0,['all_groups']
great selection of racial videos to watch,0,11259,1.0,['all_groups']
who are we immigration multiculturalism biology commonsense reason race,0,8308,1.0,['all_groups']
3 sonofnewo ford fischer charlottesville hoax charlottesville fake been a riot on youtube for the,0,18526,1.0,['all_groups']
that s strange i m white and i help white people all the time you really feel persecuted huh what s that like,0,8132,1.0,['all_groups']
average black in america is 20 european and significantly more african in the old cotton and rice belts,0,12253,1.0,['all_groups']
giddy up guyscuz white power needs a breaknow lasso urselves right away,0,9618,1.0,['all_groups']
this weekend read freepdf french english identity white race paleo yoga 224pages 300 photos,0,13700,1.0,['all_groups']
complete idiot john kerry not surprised isis had capabilities to carry out paris attacks,0,355,1.0,['all_groups']
same here bro i m called a white racist everyday because i support trump even though i m black conservatives are now called nazi s,0,17227,1.0,['all_groups']
national review on nelson mandela new york the final word on mainstream conservatism note the gop recentl,0,6178,1.0,['all_groups']
your civility in your posts is inspiring geller is racist what race is jihad terror agnst innocent civ,0,14951,1.0,['all_groups']
as it heats up this summer please do not leave your pet in the car humane compassion safety love think,0,14083,1.0,['all_groups']
make a gift in honor of and annoy a liberal,0,578,1.0,['all_groups']
i m a white person on it disabled people qualify,0,18738,1.0,['all_groups']
people with a shred of decency would be phased,0,7149,1.0,['all_groups']
fair immigration is a branded hate group that s led by a known racist named john tanton key members are white supremacists,0,16015,1.0,['all_groups']
white communities,0,17413,1.0,['all_groups']
expulsion of white farmers has destroyed zimbabwe,0,948,1.0,['all_groups']
the genocide of white south africans video,0,7250,1.0,['all_groups']
journalist with microcephaly shares her story slams abortion push in brazil zikavirus,0,13417,1.0,['all_groups']
